UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1013,4460,test_user14-I9Ks,2,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:52:20,TIMEOUT,86400,123,normal,0,7,00:00:01,SchedMain;StartReceived
1010,4461,test_user11-kAVV,5,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:50:31,PREEMPTED,86400,14,normal,0,3,00:00:01,SchedMain;StartReceived
1003,4462,test_user4-9waG,3,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:52:55,PREEMPTED,86400,158,normal,0,7,00:00:01,SchedMain;StartReceived
1004,4463,test_user5-SGel,6,2025-07-31T09:50:16,2025-07-31T09:50:17,2025-07-31T09:51:18,PREEMPTED,86400,61,normal,0,3,00:00:01,SchedMain;StartReceived
1008,4464,test_user9-rQR1,9,2025-07-31T09:50:16,2025-07-31T09:50:34,2025-07-31T09:52:44,COMPLETED,86400,130,normal,0,1,00:00:17,SchedMain;StartReceived
1007,4465,test_user8-cJdM,9,2025-07-31T09:50:17,2025-07-31T09:55:51,2025-07-31T10:02:56,PREEMPTED,86400,425,normal,0,9,00:05:34,SchedMain;StartReceived
1014,4466,test_user15-OWg8,3,2025-07-31T09:50:17,2025-07-31T09:58:24,2025-07-31T10:01:12,PREEMPTED,86400,168,normal,0,3,00:08:07,SchedMain;StartReceived
1006,4467,test_user7-pZDD,5,2025-07-31T09:50:17,2025-07-31T09:58:24,2025-07-31T10:01:12,PREEMPTED,86400,168,normal,0,6,00:08:06,SchedMain;StartReceived
1000,4468,test_user1-EjZl,10,2025-07-31T09:50:18,2025-07-31T10:05:50,2025-07-31T10:06:13,PREEMPTED,86400,23,normal,0,6,00:15:32,SchedMain;StartReceived
1015,4469,test_user16-XtkF,10,2025-07-31T09:50:18,2025-07-31T10:11:01,2025-07-31T10:14:17,PREEMPTED,86400,196,normal,0,8,00:20:43,SchedMain;StartReceived
1012,4470,test_user13-2Pr1,8,2025-07-31T09:50:18,2025-07-31T10:03:19,2025-07-31T10:05:41,PREEMPTED,86400,142,normal,0,3,00:13:01,SchedBackfill;StartReceived
1002,4471,test_user3-4Zke,1,2025-07-31T09:50:18,2025-07-31T10:08:49,2025-07-31T10:08:50,PREEMPTED,86400,1,normal,0,3,00:18:31,SchedBackfill;StartReceived
1011,4472,test_user12-9eCs,5,2025-07-31T09:50:18,2025-07-31T10:09:19,2025-07-31T10:11:27,COMPLETED,86400,128,normal,0,2,00:19:01,SchedBackfill;StartReceived
1001,4473,test_user2-RMP9,8,2025-07-31T09:50:18,2025-07-31T10:14:13,2025-07-31T10:15:25,PREEMPTED,86400,72,normal,0,10,00:23:54,SchedMain;StartReceived
1005,4474,test_user6-faAQ,3,2025-07-31T09:50:19,2025-07-31T10:11:19,2025-07-31T10:14:13,COMPLETED,86400,174,normal,0,3,00:21:00,SchedBackfill;StartReceived
1009,4475,test_user10-XfnW,2,2025-07-31T09:50:19,2025-07-31T10:16:24,2025-07-31T10:18:28,TIMEOUT,86400,124,normal,0,5,00:26:05,SchedMain;StartReceived
1018,4476,test_user19-trvZ,1,2025-07-31T09:50:30,2025-07-31T10:16:24,2025-07-31T10:17:50,TIMEOUT,86400,86,normal,0,7,00:25:54,SchedMain;StartReceived
1017,4477,test_user18-82BZ,9,2025-07-31T09:50:30,2025-07-31T10:17:53,2025-07-31T10:21:49,PREEMPTED,86400,236,normal,0,2,00:27:23,SchedMain;StartReceived
1016,4478,test_user17-uJT1,5,2025-07-31T09:50:30,2025-07-31T09:50:34,2025-07-31T09:55:50,TIMEOUT,172800,316,high,0,1,00:00:04,SchedMain;StartReceived
1019,4479,test_user20-ucvb,9,2025-07-31T09:50:30,2025-07-31T10:23:24,2025-07-31T10:27:26,COMPLETED,86400,242,normal,0,10,00:32:54,SchedMain;StartReceived
1012,4480,test_user13-feDD,2,2025-07-31T09:51:18,2025-07-31T09:51:22,2025-07-31T09:53:50,TIMEOUT,172800,148,high,0,4,00:00:04,SchedMain;StartReceived
1000,4481,test_user1-eFrI,3,2025-07-31T09:51:31,2025-07-31T10:25:08,2025-07-31T10:25:37,PREEMPTED,86400,29,normal,0,8,00:33:37,SchedMain;StartReceived
1019,4482,test_user20-2xC9,1,2025-07-31T09:51:44,2025-07-31T10:18:49,2025-07-31T10:19:05,PREEMPTED,86400,16,normal,0,6,00:27:05,SchedBackfill;StartReceived
1004,4483,test_user5-KXIs,6,2025-07-31T09:52:03,2025-07-31T10:27:26,2025-07-31T10:29:36,PREEMPTED,86400,130,normal,0,3,00:35:23,SchedMain;StartReceived
1010,4484,test_user11-iMmN,4,2025-07-31T09:52:06,2025-07-31T10:27:53,2025-07-31T10:29:36,PREEMPTED,86400,103,normal,0,8,00:35:47,SchedMain;StartReceived
1013,4485,test_user14-Pibz,5,2025-07-31T09:52:16,2025-07-31T10:31:51,2025-07-31T10:34:26,PREEMPTED,86400,155,normal,0,9,00:39:35,SchedMain;StartReceived
1005,4486,test_user6-6rgF,8,2025-07-31T09:52:21,2025-07-31T10:33:13,2025-07-31T10:33:37,PREEMPTED,86400,24,normal,0,2,00:40:52,SchedMain;StartReceived
1007,4487,test_user8-KKMH,3,2025-07-31T09:52:38,2025-07-31T10:59:02,2025-07-31T11:02:21,TIMEOUT,86400,199,normal,0,10,01:06:24,SchedMain;StartReceived
1018,4488,test_user19-Ydvh,2,2025-07-31T09:52:49,2025-07-31T09:52:49,2025-07-31T09:54:50,TIMEOUT,172800,121,high,0,5,00:00:00,SchedBackfill;StartReceived
1002,4489,test_user3-7etm,2,2025-07-31T09:52:52,2025-07-31T10:33:20,2025-07-31T10:33:37,PREEMPTED,86400,17,normal,0,5,00:40:28,SchedBackfill;StartReceived
1006,4490,test_user7-auT5,3,2025-07-31T09:52:54,2025-07-31T09:52:59,2025-07-31T09:55:51,COMPLETED,172800,172,high,0,9,00:00:05,SchedMain;StartReceived
1012,4491,test_user13-JS0K,9,2025-07-31T09:52:59,2025-07-31T10:34:50,2025-07-31T10:36:59,COMPLETED,86400,129,normal,0,2,00:41:51,SchedBackfill;StartReceived
1014,4492,test_user15-vBcf,6,2025-07-31T09:53:10,2025-07-31T11:02:25,2025-07-31T11:08:20,COMPLETED,86400,355,normal,0,6,01:09:15,SchedMain;StartReceived
1016,4493,test_user17-c6NB,3,2025-07-31T09:53:11,2025-07-31T09:54:54,2025-07-31T09:58:21,TIMEOUT,172800,207,high,0,10,00:01:43,SchedMain;StartReceived
1000,4494,test_user1-hDRT,2,2025-07-31T09:53:13,2025-07-31T11:03:08,2025-07-31T11:05:13,TIMEOUT,86400,125,normal,0,9,01:09:55,SchedMain;StartReceived
1005,4496,test_user6-EWHl,4,2025-07-31T09:53:38,2025-07-31T10:46:20,2025-07-31T10:49:05,COMPLETED,86400,165,normal,0,4,00:52:42,SchedBackfill;StartReceived
1003,4498,test_user4-5YvZ,7,2025-07-31T09:54:08,2025-07-31T10:35:50,2025-07-31T10:37:20,PREEMPTED,86400,90,normal,0,2,00:41:42,SchedBackfill;StartReceived
1008,4499,test_user9-u3EZ,10,2025-07-31T09:54:22,2025-07-31T11:05:13,2025-07-31T11:14:16,COMPLETED,86400,543,normal,0,10,01:10:51,SchedMain;StartReceived
1011,4500,test_user12-xAS9,5,2025-07-31T09:54:38,2025-07-31T11:08:20,2025-07-31T11:10:27,COMPLETED,86400,127,normal,0,10,01:13:42,SchedMain;StartReceived
1015,4501,test_user16-dSUd,7,2025-07-31T09:54:41,2025-07-31T11:10:27,2025-07-31T11:17:04,COMPLETED,86400,397,normal,0,8,01:15:46,SchedMain;StartReceived
1001,4502,test_user2-E0bq,8,2025-07-31T09:54:55,2025-07-31T10:43:50,2025-07-31T10:49:02,COMPLETED,86400,312,normal,0,2,00:48:55,SchedBackfill;StartReceived
1009,4503,test_user10-Qi0k,8,2025-07-31T09:55:02,2025-07-31T10:49:21,2025-07-31T10:51:05,PREEMPTED,86400,104,normal,0,2,00:54:19,SchedBackfill;StartReceived
1005,4504,test_user6-Yk0Y,7,2025-07-31T09:55:05,2025-07-31T10:53:51,2025-07-31T10:55:21,PREEMPTED,86400,90,normal,0,3,00:58:46,SchedBackfill;StartReceived
1019,4505,test_user20-vfxM,8,2025-07-31T09:55:14,2025-07-31T11:14:16,2025-07-31T11:21:15,COMPLETED,86400,419,normal,0,7,01:19:02,SchedMain;StartReceived
1014,4506,test_user15-t0E9,3,2025-07-31T09:55:15,2025-07-31T09:58:49,2025-07-31T10:01:50,TIMEOUT,86400,181,normal,0,1,00:03:34,SchedBackfill;StartReceived
1017,4507,test_user18-7e1G,3,2025-07-31T09:55:17,2025-07-31T11:17:24,2025-07-31T11:19:46,COMPLETED,86400,142,normal,0,10,01:22:07,SchedMain;StartReceived
1010,4508,test_user11-66oq,8,2025-07-31T09:55:17,2025-07-31T11:17:24,2025-07-31T11:21:40,COMPLETED,86400,256,normal,0,3,01:22:07,SchedMain;StartReceived
1016,4509,test_user17-RBjm,1,2025-07-31T09:55:20,2025-07-31T11:19:46,2025-07-31T11:20:51,TIMEOUT,86400,65,normal,0,9,01:24:26,SchedMain;StartReceived
1006,4510,test_user7-JMYy,4,2025-07-31T09:55:49,2025-07-31T11:20:55,2025-07-31T11:25:21,TIMEOUT,86400,266,normal,0,9,01:25:06,SchedMain;StartReceived
1015,4511,test_user16-j3zC,6,2025-07-31T09:55:53,2025-07-31T11:21:15,2025-07-31T11:24:25,COMPLETED,86400,190,normal,0,3,01:25:22,SchedMain;StartReceived
1012,4512,test_user13-geka,8,2025-07-31T09:55:58,2025-07-31T11:21:15,2025-07-31T11:26:10,COMPLETED,86400,295,normal,0,4,01:25:17,SchedMain;StartReceived
1013,4513,test_user14-RFMK,8,2025-07-31T09:55:59,2025-07-31T11:25:25,2025-07-31T11:31:55,COMPLETED,86400,390,normal,0,10,01:29:26,SchedMain;StartReceived
1007,4514,test_user8-ADba,1,2025-07-31T09:56:02,2025-07-31T10:08:49,2025-07-31T10:08:50,PREEMPTED,86400,1,normal,0,3,00:12:47,SchedBackfill;StartReceived
1017,4515,test_user18-8T1x,6,2025-07-31T09:56:22,2025-07-31T11:25:25,2025-07-31T11:27:42,COMPLETED,86400,137,normal,0,5,01:29:03,SchedMain;StartReceived
1009,4516,test_user10-Wg86,3,2025-07-31T09:56:24,2025-07-31T11:27:55,2025-07-31T11:30:46,COMPLETED,86400,171,normal,0,9,01:31:31,SchedMain;StartReceived
1004,4517,test_user5-CgCU,7,2025-07-31T09:56:29,2025-07-31T09:58:49,2025-07-31T10:04:03,COMPLETED,86400,314,normal,0,1,00:02:20,SchedBackfill;StartReceived
1016,4518,test_user17-R60O,6,2025-07-31T09:56:36,2025-07-31T11:30:46,2025-07-31T11:36:51,TIMEOUT,86400,365,normal,0,3,01:34:10,SchedMain;StartReceived
1003,4519,test_user4-OpxI,4,2025-07-31T09:56:42,2025-07-31T11:30:46,2025-07-31T11:34:51,TIMEOUT,86400,245,normal,0,5,01:34:04,SchedMain;StartReceived
1008,4520,test_user9-Yhti,2,2025-07-31T09:56:45,2025-07-31T11:31:55,2025-07-31T11:34:02,TIMEOUT,86400,127,normal,0,9,01:35:10,SchedMain;StartReceived
1005,4521,test_user6-LZJl,1,2025-07-31T09:56:51,2025-07-31T11:34:02,2025-07-31T11:35:21,TIMEOUT,86400,79,normal,0,9,01:37:11,SchedMain;StartReceived
1011,4522,test_user12-FAnC,10,2025-07-31T09:57:37,2025-07-31T11:34:55,2025-07-31T11:42:41,COMPLETED,86400,466,normal,0,5,01:37:18,SchedMain;StartReceived
1007,4523,test_user8-C7tU,7,2025-07-31T09:57:46,2025-07-31T10:53:51,2025-07-31T10:55:21,PREEMPTED,86400,90,normal,0,2,00:56:05,SchedBackfill;StartReceived
1018,4524,test_user19-Uwps,9,2025-07-31T09:57:47,2025-07-31T11:35:24,2025-07-31T11:38:15,COMPLETED,86400,171,normal,0,10,01:37:37,SchedMain;StartReceived
1002,4525,test_user3-gAkW,7,2025-07-31T09:57:49,2025-07-31T11:36:54,2025-07-31T11:44:21,TIMEOUT,86400,447,normal,0,5,01:39:05,SchedMain;StartReceived
1004,4526,test_user5-sNjb,6,2025-07-31T09:57:57,2025-07-31T11:38:15,2025-07-31T11:43:09,COMPLETED,86400,294,normal,0,10,01:40:18,SchedMain;StartReceived
1006,4527,test_user7-rYGv,5,2025-07-31T09:58:02,2025-07-31T11:43:09,2025-07-31T11:48:12,TIMEOUT,86400,303,normal,0,6,01:45:07,SchedMain;StartReceived
1000,4528,test_user1-gdz2,4,2025-07-31T09:58:02,2025-07-31T11:42:53,2025-07-31T11:47:21,TIMEOUT,86400,268,normal,0,5,01:44:51,SchedBackfill;StartReceived
1003,4529,test_user4-6DxZ,5,2025-07-31T09:58:09,2025-07-31T11:02:51,2025-07-31T11:07:51,TIMEOUT,86400,300,normal,0,4,01:04:42,SchedBackfill;StartReceived
