UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1010,1010,5682,test_user11,testing,test_user11-m4Qq,1,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:06:06,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:04:41,,00:00:00,21504,84,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:15,,,2M,2,2,00:00:01,128,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedMain;StartReceived,,,
,,5682.extern,,testing,extern,,2025-08-01T19:04:42,2025-08-01T19:04:42,2025-08-01T19:06:09,COMPLETED,0:0,,,,2025-08-01T19:04:42,,00:00:00,22272,87,Unknown,2,,,,,0,,,,,,,,00:00:00,2,,,,,,,2,2,,,256,00:00:00,256,00:00:00,,,,billing=256;cpu=256;node=2,,,,,,
1016,1016,5684,test_user17,testing,test_user17-xwjX,6,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:07:24,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:41,,00:00:00,103680,162,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,00:00:01,320,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
,,5684.batch,,testing,batch,,2025-08-01T19:04:42,2025-08-01T19:04:42,2025-08-01T19:07:24,COMPLETED,0:0,,,,2025-08-01T19:04:42,,00:00:00,10368,162,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5684.extern,,testing,extern,,2025-08-01T19:04:42,2025-08-01T19:04:42,2025-08-01T19:07:24,COMPLETED,0:0,,,,2025-08-01T19:04:42,,00:00:00,103680,162,Unknown,5,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,640,00:00:00,640,00:00:00,,,,billing=640;cpu=640;node=5,,,,,,
,,5684.0,,testing,mpicatnap,,2025-08-01T19:04:43,2025-08-01T19:04:43,2025-08-01T19:07:24,COMPLETED,0:0,,,,2025-08-01T19:04:43,,00:00:00,51520,161,Block,320,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,320,00:00:00,320,00:00:00,,,,cpu=320;mem=0;node=5,,,,,,
1014,1014,5685,test_user15,testing,test_user15-QRKA,2,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:07:06,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:04:41,,00:00:00,110592,144,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:00:01,384,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1011,1011,5688,test_user12,testing,test_user12-vH0j,9,2025-08-01T19:04:42,2025-08-01T19:05:05,2025-08-01T19:09:41,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:42,,00:00:00,70656,276,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,00:00:23,2944,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedBackfill;StartReceived,,,
,,5688.batch,,testing,batch,,2025-08-01T19:05:05,2025-08-01T19:05:05,2025-08-01T19:09:41,COMPLETED,0:0,,,,2025-08-01T19:05:05,,00:00:00,17664,276,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5688.extern,,testing,extern,,2025-08-01T19:05:05,2025-08-01T19:05:05,2025-08-01T19:09:41,COMPLETED,0:0,,,,2025-08-01T19:05:05,,00:00:00,70656,276,Unknown,2,,,,,0,,,,,,,,00:00:00,2,,,,,,,2,2,,,256,00:00:00,256,00:00:00,,,,billing=256;cpu=256;node=2,,,,,,
