min, reserved, allocated, completing
1,20,0,0
2,1,19,0
3,1,19,0
4,1,19,0
5,1,19,0
6,1,19,0
7,1,19,0
8,4,16,0
9,3,17,0
10,7,13,0
11,5,15,0
12,5,15,0
13,5,15,0
14,5,15,0
15,5,15,0
16,5,15,0
17,6,14,0
18,4,16,0
19,0,20,0
20,1,19,0
21,1,19,0
22,1,19,0
23,1,19,0
24,1,19,0
25,1,19,0
26,2,18,0
27,0,20,0
28,0,20,0
29,3,17,0
30,3,17,0
31,3,17,0
32,3,17,0
33,3,17,0
34,3,17,0
35,3,17,0
36,0,20,0
37,5,15,0
38,5,15,0
39,5,15,0
40,5,15,0
41,5,15,0
42,5,15,0
43,6,14,0
44,4,16,0
45,0,20,0
46,0,20,0
47,0,20,0
48,0,20,0
49,0,20,0
50,0,20,0
51,0,20,0
52,0,20,0
53,3,17,0
54,5,15,0
55,5,15,0
56,5,15,0
57,5,15,0
58,5,15,0
59,5,15,0
60,5,15,0
61,0,20,0
62,0,20,0
63,0,20,0
64,0,20,0
65,0,20,0
66,0,20,0
67,0,20,0
68,0,20,0
69,0,20,0
70,0,20,0
71,0,20,0
72,0,20,0
73,0,20,0
74,0,20,0
75,0,20,0
76,0,20,0
77,0,20,0
78,3,17,0
79,3,17,0
80,3,17,0
81,3,17,0
82,3,17,0
83,3,17,0
84,3,17,0
85,3,17,0
86,0,20,0
87,4,16,0
88,4,16,0
89,4,16,0
90,4,16,0
91,4,16,0
92,4,16,0
93,4,16,0
94,4,16,0
95,0,20,0
96,0,20,0
97,0,20,0
98,0,20,0
99,0,20,0
100,0,20,0
101,0,20,0
102,0,20,0
103,3,17,0
104,5,15,0
105,5,15,0
106,5,15,0
107,5,15,0
108,5,15,0
109,5,15,0
110,5,15,0
111,5,15,0
112,3,17,0
113,0,20,0
114,0,20,0
115,0,20,0
116,0,20,0
117,0,20,0
118,0,20,0
119,0,20,0
120,4,16,0
121,7,13,0
122,0,20,0
123,0,20,0
124,0,20,0
125,0,20,0
126,0,20,0
127,0,20,0
128,0,20,0
129,3,17,0
130,5,15,0
131,5,15,0
132,5,15,0
133,5,15,0
134,5,15,0
135,5,15,0
136,5,15,0
137,5,15,0
138,2,18,0
139,0,20,0
140,0,20,0
141,0,20,0
142,0,20,0
143,0,20,0
144,0,20,0
145,0,20,0
146,0,20,0
147,0,20,0
148,0,20,0
149,0,20,0
150,0,20,0
151,0,20,0
152,0,20,0
153,0,20,0
154,0,20,0
155,1,19,0
156,1,19,0
157,0,20,0
158,0,20,0
159,0,20,0
160,0,20,0
161,0,20,0
162,0,20,0
163,0,20,0
164,4,16,0
165,0,20,0
166,0,20,0
167,0,20,0
168,0,20,0
169,0,20,0
170,0,20,0
171,0,20,0
172,0,20,0
173,0,20,0
174,1,19,0
175,1,19,0
176,1,19,0
177,1,19,0
178,1,19,0
179,1,19,0
180,1,19,0
181,6,14,0
182,0,20,0
183,0,20,0
184,0,20,0
185,0,20,0
186,0,20,0
187,0,20,0
188,0,20,0
189,1,19,0
190,8,12,0
191,0,20,0
192,0,20,0
193,0,20,0
194,0,20,0
195,0,20,0
196,0,20,0
197,0,20,0
198,9,11,0
199,0,20,0
200,0,20,0
201,0,20,0
202,0,20,0
203,0,20,0
204,0,20,0
205,0,20,0
206,0,20,0
207,2,18,0
208,2,18,0
209,0,20,0
210,0,20,0
211,0,20,0
212,0,20,0
213,0,20,0
214,0,20,0
215,0,20,0
216,3,17,0
217,1,19,0
218,3,17,0
219,3,17,0
220,3,17,0
221,3,17,0
222,3,17,0
223,3,17,0
224,0,20,0
225,0,20,0
226,0,20,0
227,0,20,0
228,0,20,0
229,0,20,0
230,0,20,0
231,0,20,0
232,0,20,0
233,5,15,0
234,5,15,0
235,0,20,0
236,0,20,0
237,0,20,0
238,0,20,0
239,0,20,0
240,0,20,0
241,3,17,0
242,2,18,0
243,0,20,0
