Elapsedmins, Nodes
1,4
1,9
1,8
1,8
1,7
1,6
1,5
1,9
1,2
1,4
1,5
1,2
1,3
1,5
1,2
1,4
1,3
1,6
1,10
1,9
1,1
1,2
1,4
1,5
1,6
1,4
1,1
1,3
1,10
1,2
1,4
1,6
1,3
1,9
1,5
1,2
1,3
2,6
1,2
1,3
1,4
1,6
1,9
1,5
1,6
1,6
1,1
1,6
1,3
2,2
1,3
1,9
2,4
1,10
1,6
1,2
1,5
1,10
1,3
1,9
1,9
1,2
1,2
1,7
2,4
1,8
1,7
1,4
1,2
1,9
1,8
1,5
1,8
1,5
1,6
1,2
1,1
1,10
1,3
1,7
1,3
1,9
1,2
1,2
1,5
1,4
1,9
1,7
1,2
1,2
1,3
1,10
1,10
2,6
1,6
1,10
1,4
1,7
1,2
1,6
1,2
1,3
1,1
1,2
1,3
1,8
1,8
1,7
1,8
1,5
1,5
1,6
2,8
1,6
1,10
1,5
1,8
1,5
1,3
2,8
1,1
1,2
1,5
1,4
1,5
1,8
1,1
1,8
1,7
1,7
1,2
1,5
1,6
1,4
1,5
1,4
1,8
1,1
1,7
1,8
1,6
1,7
1,6
1,3
1,6
1,1
1,6
1,6
2,6
1,5
1,9
1,5
2,4
1,10
1,10
2,4
1,9
1,5
1,4
1,9
1,3
1,8
1,6
1,2
2,3
1,4
1,8
1,7
1,8
1,3
1,10
1,7
1,2
1,8
1,3
1,5
1,6
1,10
1,3
1,10
1,6
1,3
1,6
1,2
1,9
1,8
1,9
1,4
1,4
1,7
1,5
1,3
1,9
1,6
1,4
1,6
1,6
1,6
1,9
1,5
1,10
1,5
1,5
1,5
1,2
1,1
1,2
1,5
1,1
1,9
1,7
2,8
1,3
2,2
1,3
1,1
1,10
1,8
1,1
1,10
1,6
1,5
1,9
1,3
1,6
1,4
1,5
1,4
1,10
1,1
1,8
1,2
1,4
1,2
1,3
1,5
1,4
1,9
1,8
1,9
1,9
1,5
1,6
1,1
1,8
1,9
1,2
2,2
1,7
1,4
1,9
1,7
1,3
1,1
1,2
1,9
1,8
1,9
1,5
1,10
1,4
1,4
1,6
1,5
1,4
1,6
1,7
1,4
1,6
1,2
1,8
1,8
1,8
1,8
1,3
1,9
1,8
1,4
1,5
1,6
1,8
1,9
1,8
1,9
1,7
1,5
1,4
1,6
1,3
1,8
1,5
1,1
1,3
1,5
1,9
1,9
1,9
1,3
1,8
1,1
1,10
1,2
1,8
1,9
1,1
1,8
1,9
1,9
1,10
1,5
1,3
1,4
2,6
1,4
1,1
1,1
2,10
1,9
2,9
1,5
1,10
1,2
1,8
1,8
1,4
1,9
1,5
1,9
1,8
1,8
1,3
2,3
1,4
1,1
1,8
1,6
1,6
1,8
1,10
2,10
1,1
1,4
1,3
1,9
1,8
1,8
1,1
1,4
2,2
1,1
1,8
1,3
1,4
1,7
1,9
1,4
1,6
1,9
1,1
2,5
1,10
1,2
1,5
1,3
1,1
1,10
1,1
1,3
1,4
1,5
2,6
1,2
1,8
1,2
1,4
1,8
1,5
1,10
1,9
1,7
1,6
1,6
1,3
1,8
1,3
1,2
1,9
1,7
1,10
1,9
1,9
1,8
1,2
1,7
1,9
1,6
1,3
1,5
1,1
1,8
1,7
1,1
1,2
1,9
1,3
1,6
1,2
1,8
1,2
1,10
1,1
1,4
1,7
1,6
1,3
1,2
1,9
1,6
1,10
1,1
1,5
2,4
1,6
1,8
1,4
2,1
1,3
1,6
1,4
1,9
1,9
1,8
1,7
1,6
1,7
1,7
1,1
1,4
1,9
1,4
1,4
1,10
1,7
1,3
1,10
1,1
1,6
2,7
1,7
1,3
1,9
1,3
1,5
1,2
1,6
1,8
1,8
1,10
1,6
1,5
1,5
1,8
1,9
1,10
1,8
1,7
1,6
1,1
1,8
1,4
1,4
1,3
1,4
1,9
1,2
1,2
1,3
1,7
1,3
1,3
1,3
1,2
1,9
1,3
1,1
1,1
1,10
1,8
1,8
1,5
1,1
1,1
1,5
1,7
1,6
1,9
1,2
1,8
1,7
1,10
1,3
1,10
1,7
1,1
1,6
1,1
1,2
1,1
1,2
1,6
1,4
1,3
2,3
1,4
1,7
1,3
1,8
1,2
1,4
1,7
1,2
1,9
1,6
1,7
1,8
1,1
1,8
1,5
1,4
2,2
1,2
1,4
1,9
2,4
2,3
1,7
1,8
1,8
1,7
1,10
1,1
1,3
1,7
1,6
1,4
1,9
1,7
1,10
1,8
1,4
1,8
1,3
1,10
1,3
1,2
1,4
1,5
1,3
1,4
1,4
1,1
1,7
1,8
2,1
1,4
1,9
1,5
1,6
1,5
1,1
1,5
1,7
1,9
1,7
1,4
1,9
1,3
1,8
1,8
1,9
1,9
1,8
1,3
1,1
1,4
1,6
1,1
2,9
1,2
1,1
1,2
1,8
1,9
1,8
1,9
1,10
1,7
1,10
1,4
1,4
1,5
1,1
1,2
1,2
1,5
1,1
2,10
1,3
1,6
1,3
1,6
1,2
1,4
1,1
1,6
1,8
1,6
1,10
1,7
1,1
1,3
1,5
1,8
1,2
1,9
1,4
1,4
1,7
1,1
1,5
2,7
2,3
1,2
1,7
2,9
1,4
1,2
2,3
1,10
1,5
1,6
1,1
1,1
1,5
1,4
1,10
1,3
1,3
1,5
1,7
1,2
1,9
1,10
1,1
1,5
1,3
1,2
1,5
1,2
2,7
1,9
1,10
1,1
1,9
1,1
1,4
1,3
1,8
1,9
1,8
1,6
1,7
1,7
1,7
1,1
1,3
1,5
1,2
1,10
2,10
1,6
1,5
1,10
1,6
1,1
1,10
1,5
1,2
1,1
1,10
1,1
1,6
2,10
1,10
1,6
1,7
1,7
1,5
1,1
1,5
1,8
1,8
1,4
1,4
2,1
1,1
2,9
1,6
1,9
2,6
1,10
1,10
1,3
1,9
1,10
1,5
1,2
1,9
1,7
1,3
1,6
1,9
1,7
1,1
1,5
1,3
1,5
2,10
1,10
1,2
1,7
1,9
1,1
1,8
1,8
1,4
1,6
1,1
2,8
1,5
1,9
1,4
1,8
1,3
1,9
1,1
1,6
1,10
1,10
1,6
1,10
2,7
1,7
1,7
1,7
1,9
1,4
1,8
1,7
1,7
1,2
1,2
1,3
1,1
1,10
1,7
1,2
1,2
1,4
1,1
1,7
1,9
1,7
1,3
1,5
1,6
1,1
1,10
1,4
1,9
1,5
1,10
1,6
2,5
6,3
8,9
8,5
8,7
7,3
8,6
8,7
9,7
8,6
8,7
8,8
8,3
9,5
8,6
8,9
8,10
8,7
8,5
8,7
8,10
8,9
7,1
8,5
8,9
8,5
8,2
8,2
8,8
8,9
8,3
8,10
8,7
8,4
8,5
8,8
9,9
8,5
8,8
8,8
8,1
8,4
8,8
8,5
8,5
8,1
8,7
8,9
8,8
8,4
8,6
8,1
8,2
8,7
8,1
8,8
8,8
8,10
8,5
8,2
8,9
8,6
8,6
8,10
8,1
8,6
8,6
8,5
8,8
9,9
8,4
8,8
8,4
8,5
8,9
8,10
8,8
8,3
8,6
8,7
8,4
8,1
8,5
8,6
9,4
8,6
8,3
8,5
8,5
8,1
8,7
8,8
8,8
8,7
8,4
8,6
8,8
8,7
8,1
8,8
8,9
8,8
8,8
8,10
9,1
9,8
8,5
8,7
8,2
8,9
8,2
8,2
9,4
8,2
8,10
8,6
8,1
8,2
8,5
8,10
8,7
8,7
8,2
8,2
8,2
8,5
8,8
8,1
8,8
8,1
8,10
8,7
8,10
8,9
8,9
8,4
9,10
8,2
8,3
8,2
8,5
8,4
8,9
8,8
8,7
8,8
8,1
8,7
8,4
8,1
8,6
8,10
8,7
8,3
8,9
8,7
8,3
9,2
8,5
8,6
8,4
8,6
8,10
8,5
8,4
8,2
8,2
8,5
8,2
8,9
8,8
8,5
8,4
8,6
8,3
8,1
8,2
9,8
8,3
8,1
8,6
9,2
8,10
8,9
8,3
8,10
8,2
9,2
8,6
8,3
8,5
8,1
8,3
8,7
8,5
8,9
8,5
8,8
8,10
8,10
8,2
8,5
8,1
8,4
8,9
8,3
8,1
8,1
9,4
8,3
8,5
9,5
8,8
8,9
8,10
8,1
8,1
8,4
8,10
8,7
8,3
8,5
8,9
8,5
8,7
8,9
8,10
8,9
8,1
8,4
8,8
8,1
8,9
8,2
8,4
9,9
8,7
8,7
8,4
8,2
8,9
8,4
8,5
8,9
8,7
8,2
8,7
8,5
8,1
8,3
8,2
8,7
8,5
8,7
9,6
8,5
8,6
8,5
8,7
8,1
8,9
8,9
8,5
8,8
8,9
8,5
8,3
8,4
8,5
8,10
8,7
8,8
8,10
8,7
8,1
8,5
9,2
9,5
8,3
8,8
8,6
8,8
8,1
8,4
9,8
8,1
8,1
8,8
8,8
8,3
8,9
8,1
8,7
8,2
8,8
8,2
8,9
8,10
8,5
8,5
8,4
8,5
8,4
8,1
8,7
8,9
8,6
8,9
8,5
8,9
8,7
8,2
8,5
8,1
9,5
8,4
8,2
8,7
8,10
8,2
8,9
8,5
8,2
8,8
8,9
8,9
9,10
8,1
8,5
8,9
8,7
8,9
8,8
8,1
8,3
8,2
9,9
8,6
8,8
8,9
8,7
8,7
8,9
8,6
8,7
8,5
8,10
8,10
8,3
8,10
8,9
8,4
8,1
8,8
8,6
8,8
8,5
8,3
8,8
8,1
8,3
8,8
8,10
8,6
9,9
8,5
8,1
8,10
8,2
8,6
8,3
8,3
8,9
8,3
8,6
8,5
8,4
8,10
8,10
8,9
8,2
8,10
8,9
8,5
8,5
8,1
8,6
8,1
8,2
8,5
8,5
8,6
8,3
8,8
8,7
8,10
8,7
8,7
8,9
8,6
