Job ID,User ID,Queue Time,Start Time,End Time,Total Nodes Requested,Total CPU Cores Requested,Total Memory Requested (MB),Expected Duration (Sim Units),Assigned Node 1 ID,Assigned Node 1 Cores,Assigned Node 1 Mem (MB),Assigned Node 2 ID,Assigned Node 2 Cores,Assigned Node 2 Mem (MB),Additional Assigned Details
1,10,2002-07-28 01:04:05,2002-07-28 01:04:05,2002-07-28 01:04:09,1,2,NA,4,1,2,141252,,,,
3,6,2002-07-28 01:04:07,2002-07-28 01:04:07,2002-07-28 01:04:10,1,2,NA,3,2,2,139230,,,,
7,5,2002-07-28 01:04:11,2002-07-28 01:04:11,2002-07-28 01:04:12,1,2,NA,1,5,2,234471,,,,
2,5,2002-07-28 01:04:06,2002-07-28 01:04:06,2002-07-28 01:04:14,3,6,NA,8,1,2,896959,2,2,896959,3;2;896959
4,4,2002-07-28 01:04:08,2002-07-28 01:04:08,2002-07-28 01:04:15,3,6,NA,7,4,2,294064,4,2,294064,5;2;294064
5,5,2002-07-28 01:04:09,2002-07-28 01:04:09,2002-07-28 01:04:15,2,4,NA,6,6,2,854616,7,2,854616,
6,3,2002-07-28 01:04:10,2002-07-28 01:04:10,2002-07-28 01:04:16,1,2,NA,6,8,2,827060,,,,
11,8,2002-07-28 01:04:15,2002-07-28 01:04:15,2002-07-28 01:04:17,2,4,NA,2,6,2,852158,7,2,852158,
8,5,2002-07-28 01:04:12,2002-07-28 01:04:12,2002-07-28 01:04:20,3,6,NA,8,5,2,475949,9,2,475949,9;2;475949
10,8,2002-07-28 01:04:14,2002-07-28 01:04:14,2002-07-28 01:04:21,2,4,NA,7,6,2,131342,7,2,131342,
9,9,2002-07-28 01:04:13,2002-07-28 01:04:13,2002-07-28 01:04:23,2,4,NA,10,10,2,647406,11,2,647406,
16,4,2002-07-28 01:04:20,2002-07-28 01:04:20,2002-07-28 01:04:23,3,6,NA,3,2,2,269489,5,2,269489,3;2;269489
12,5,2002-07-28 01:04:16,2002-07-28 01:04:16,2002-07-28 01:04:24,1,2,NA,8,5,2,438988,,,,
18,2,2002-07-28 01:04:22,2002-07-28 01:04:22,2002-07-28 01:04:25,2,4,NA,3,6,2,207382,7,2,207382,
13,8,2002-07-28 01:04:17,2002-07-28 01:04:17,2002-07-28 01:04:26,3,6,NA,9,6,2,748084,7,2,748084,1;2;748084
20,4,2002-07-28 01:04:24,2002-07-28 01:04:24,2002-07-28 01:04:26,3,6,NA,2,10,2,104921,11,2,104921,5;2;104921
17,8,2002-07-28 01:04:21,2002-07-28 01:04:21,2002-07-28 01:04:27,1,2,NA,6,3,2,643720,,,,
19,2,2002-07-28 01:04:23,2002-07-28 01:04:23,2002-07-28 01:04:27,3,6,NA,4,3,2,147864,2,2,147864,5;2;147864
14,6,2002-07-28 01:04:18,2002-07-28 01:04:18,2002-07-28 01:04:28,1,2,NA,10,2,2,533858,,,,
15,2,2002-07-28 01:04:19,2002-07-28 01:04:19,2002-07-28 01:04:28,3,6,NA,9,1,2,235216,10,2,235216,11;2;235216
21,8,2002-07-28 01:04:25,2002-07-28 01:04:25,2002-07-28 01:04:28,3,6,NA,3,4,2,534011,8,2,534011,9;2;534011
22,5,2002-07-28 01:04:26,2002-07-28 01:04:26,2002-07-28 01:04:28,4,8,NA,2,4,2,142117,8,2,142117,9;2;142117#1;2;142117
