time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
5.0012,0,0,0,510,2
5.0018,0,0,0,509,3
5.0024,0,0,0,505,7
5.003,0,0,0,503,9
5.0036,0,0,0,500,12
5.0042,0,0,0,498,14
5.0048,0,0,0,497,15
5.0054,0,0,0,494,18
5.006,0,0,0,491,21
5.0066,0,0,0,490,22
5.0068,0,0,0,491,21
5.0072,0,0,0,489,23
5.0094,0,0,0,486,26
5.01,0,0,0,485,27
5.0106,0,0,0,483,29
5.0112,0,0,0,481,31
5.0118,0,0,0,478,34
5.0124,0,0,0,476,36
5.013,0,0,0,472,40
5.0136,0,0,0,470,42
5.0142,0,0,0,467,45
5.0148,0,0,0,468,44
5.0148,0,0,0,465,47
5.017,0,0,0,463,49
5.0176,0,0,0,459,53
5.01799,0,0,0,461,51
5.0182,0,0,0,459,53
5.02,0,0,0,460,52
5.0219,0,0,0,462,50
5.02382,0,0,0,464,48
5.03002,0,0,0,467,45
5.03102,0,0,0,470,42
5.03972,0,0,0,473,39
5.04232,0,0,0,476,36
5.04551,0,0,0,478,34
5.04731,0,0,0,480,32
5.05791,0,0,0,482,30
5.06062,0,0,0,484,28
5.09595,0,0,0,487,25
5.10599,0,0,0,490,22
5.15189,0,0,0,494,18
6.0018,0,0,0,491,21
6.0024,0,0,0,490,22
6.003,0,0,0,486,26
6.0036,0,0,0,482,30
6.0042,0,0,0,480,32
6.0048,0,0,0,478,34
6.0054,0,0,0,474,38
6.006,0,0,0,472,40
6.0066,0,0,0,470,42
6.0072,0,0,0,467,45
6.0078,0,0,0,464,48
6.0084,0,0,0,463,49
6.009,0,0,0,461,51
6.0096,0,0,0,459,53
6.0102,0,0,0,458,54
6.0108,0,0,0,455,57
6.0114,0,0,0,451,61
6.012,0,0,0,449,63
6.0126,0,0,0,448,64
6.0132,0,0,0,446,66
6.0152,0,0,0,447,65
6.0166,0,0,0,449,63
6.0176,0,0,0,450,62
6.0184,0,0,0,451,61
6.0196,0,0,0,453,59
6.0226,0,0,0,455,57
6.04618,0,0,0,457,55
6.04798,0,0,0,459,53
6.0523,0,0,0,463,49
6.05452,0,0,0,465,47
6.09682,0,0,0,468,44
6.09742,0,0,0,471,41
6.14095,0,0,0,475,37
6.14335,0,0,0,479,33
7.0018,0,0,0,476,36
7.0024,0,0,0,473,39
7.003,0,0,0,469,43
7.0036,0,0,0,467,45
7.0042,0,0,0,465,47
7.0048,0,0,0,464,48
7.0054,0,0,0,460,52
7.006,0,0,0,459,53
7.0066,0,0,0,458,54
7.0072,0,0,0,457,55
7.0078,0,0,0,455,57
7.0084,0,0,0,452,60
7.009,0,0,0,449,63
7.0096,0,0,0,446,66
7.0098,0,0,0,447,65
7.0102,0,0,0,443,69
7.0116,0,0,0,444,68
7.0122,0,0,0,445,67
7.0124,0,0,0,442,70
7.016,0,0,0,443,69
7.0162,0,0,0,442,70
7.0184,0,0,0,441,71
7.019,0,0,0,438,74
7.0196,0,0,0,434,78
7.0202,0,0,0,432,80
7.0208,0,0,0,428,84
7.0214,0,0,0,425,87
7.022,0,0,0,421,91
7.02228,0,0,0,424,88
7.0226,0,0,0,421,91
7.0248,0,0,0,418,94
7.0262,0,0,0,419,93
7.0284,0,0,0,420,92
7.0308,0,0,0,422,90
7.03295,0,0,0,425,87
7.046,0,0,0,429,83
7.04843,0,0,0,432,80
7.05028,0,0,0,434,78
7.09548,0,0,0,437,75
7.10268,0,0,0,440,72
7.10322,0,0,0,443,69
7.15736,0,0,0,447,65
7.167,0,0,0,451,61
7.16757,0,0,0,455,57
8.0018,0,0,0,453,59
8.0024,0,0,0,450,62
8.003,0,0,0,446,66
8.0036,0,0,0,445,67
8.0042,0,0,0,443,69
8.0048,0,0,0,441,71
